[2026-07-21 00:24:43 +0000] 
[2026-07-21 00:24:43 +0000] pyEGA3 - EGA python client version 5.2.0 (https://github.com/EGA-archive/ega-download-client)
[2026-07-21 00:24:43 +0000] Parts of this software are derived from pyEGA (https://github.com/blachlylab/pyega) by James Blachly
[2026-07-21 00:24:43 +0000] Python version : 3.11.13
[2026-07-21 00:24:43 +0000] OS version : Linux #1 SMP Sun Jan 10 15:06:54 PST 2016
[2026-07-21 00:24:43 +0000] Server URL: https://ega.ebi.ac.uk:8443/v2
[2026-07-21 00:24:43 +0000] Session-Id: 2216743880
[2026-07-21 00:24:44 +0000] 
[2026-07-21 00:24:44 +0000] Authentication success for user '<EGA_USER_REDACTED>'
[2026-07-21 00:24:48 +0000] File ID         Status Bytes        Check sum                            File name
[2026-07-21 00:24:48 +0000] EGAF00008095402      1 438365473    64d1511700adddd2afb43e6289199d5d     JBLAB-19310.bam
[2026-07-21 00:24:48 +0000] EGAF00008095638      1 493299250    f7b42e4da75d90015f9ab2ce67b439ed     JBLAB-4947.bam
[2026-07-21 00:24:48 +0000] EGAF00008095517      1 805469780    5e70dcb72f24a56c27a755dba94d6f36     JBLAB-4202.bam
[2026-07-21 00:24:48 +0000] EGAF00008095639      1 1433741022   7cc735857a4391d16900e569163dc933     JBLAB-4949.bam
[2026-07-21 00:24:48 +0000] EGAF00008095518      1 413270832    45837a9428573f566fd57c56ec46a129     JBLAB-4203.bam
[2026-07-21 00:24:48 +0000] EGAF00008095519      1 1294024816   df69d5771c134fab4675d4d404bfec64     JBLAB-4204.bam
[2026-07-21 00:24:48 +0000] EGAF00008095634      1 532043028    d1a18ef2895cdbfc00df5d653ffe50ee     JBLAB-4941.bam
[2026-07-21 00:24:48 +0000] EGAF00008095513      1 1735299935   58d30b63a47187c7d53d57a0ad7b3c98     JBLAB-4197.bam
[2026-07-21 00:24:48 +0000] EGAF00008095635      1 639651851    1aba02b78e913e197fc2c8bf3f383ee5     JBLAB-4943.bam
[2026-07-21 00:24:48 +0000] EGAF00008095514      1 1209670606   6659b27718f6f1b6421656baba9ebb1c     JBLAB-4198.bam
[2026-07-21 00:24:48 +0000] EGAF00008095636      1 399709658    65079ca83dbd3043774f41216bfd80ee     JBLAB-4944.bam
[2026-07-21 00:24:48 +0000] EGAF00008095515      1 953132149    f5014c3ebf71b7eb5b62d0c8e29961a2     JBLAB-4199.bam
[2026-07-21 00:24:48 +0000] EGAF00008095637      1 760311279    2204da96ef78b5801ed45b8e3ba50600     JBLAB-4945.bam
[2026-07-21 00:24:48 +0000] EGAF00008095516      1 779119443    15d68262d32a725ee4319006703527b3     JBLAB-4200.bam
[2026-07-21 00:24:48 +0000] EGAF00008095630      1 619848428    0d41ef1c15a5cd9b36077a99a6e2dec4     JBLAB-4936.bam
[2026-07-21 00:24:48 +0000] EGAF00008095631      1 698510153    76eee79fe240b28754b0a1cbcce1c098     JBLAB-4938.bam
[2026-07-21 00:24:48 +0000] EGAF00008095510      1 610511339    51a36daa49fe759c322db7985b289782     JBLAB-4194.bam
[2026-07-21 00:24:48 +0000] EGAF00008095632      1 854051769    c05a231f5060db34e02a5560b755276b     JBLAB-4939.bam
[2026-07-21 00:24:48 +0000] EGAF00008095511      1 928985950    dc4a96af21d88d0447f4d9e60d06d757     JBLAB-4195.bam
[2026-07-21 00:24:48 +0000] EGAF00008095633      1 486761940    eaa9bdc6a0dd7cc492b394b528c63473     JBLAB-4940.bam
[2026-07-21 00:24:48 +0000] EGAF00008095512      1 856429407    e4a54ef34b5fcfc2e45dd6090a561bae     JBLAB-4196.bam
[2026-07-21 00:24:48 +0000] EGAF00008095627      1 695969019    0ee59edcc3ac4793b9c5b7a2afa9d0db     JBLAB-4932.bam
[2026-07-21 00:24:48 +0000] EGAF00008095506      1 595647429    15c2ddd4654dd32749bee4008d519b46     JBLAB-4189.bam
[2026-07-21 00:24:48 +0000] EGAF00008095628      1 574818997    6459eb0b68ecfc5536d9c29b55faaeb8     JBLAB-4933.bam
[2026-07-21 00:24:48 +0000] EGAF00008095507      1 1218896053   6252948b0983eade1901354e00183164     JBLAB-4191.bam
[2026-07-21 00:24:48 +0000] EGAF00008095629      1 626092848    9d013de5a6c71fd129fa6c77d4661242     JBLAB-4935.bam
[2026-07-21 00:24:48 +0000] EGAF00008095508      1 583888215    c3f383a496de3936dab9ebbad4c376d9     JBLAB-4192.bam
[2026-07-21 00:24:48 +0000] EGAF00008095509      1 1306237599   e20f31b2f26adb0a1f8650c1fcd1da7b     JBLAB-4193.bam
[2026-07-21 00:24:48 +0000] EGAF00008095601      1 531507604    d0ce0f884af6e699470ad8266610f7e7     JBLAB-4298.bam
[2026-07-21 00:24:48 +0000] EGAF00008095602      1 669546164    3b6240d4dc9e0b19602aa532ca4d4700     JBLAB-4299.bam
[2026-07-21 00:24:48 +0000] EGAF00008095603      1 609893810    0114a9c7ab222d3c6d5f768193385c2c     JBLAB-4900.bam
[2026-07-21 00:24:48 +0000] EGAF00008095604      1 488000884    1156ff52f7e397a8b3728e85e1065cef     JBLAB-4901.bam
[2026-07-21 00:24:48 +0000] EGAF00008095600      1 275391920    7ec4e9510dde09acaa35b0f234b31fda     JBLAB-4297.bam
[2026-07-21 00:24:48 +0000] EGAF00008095098      1 640977292    f1f1d98d6cbdcd5f044af755c42d7b57     IM_169.bam
[2026-07-21 00:24:48 +0000] EGAF00008095099      1 788524652    222531943597799b184627ac5d01af58     IM_170.bam
[2026-07-21 00:24:48 +0000] EGAF00008095094      1 796073020    efe512ad36aa3b023652af0f4ff1425c     IM_155.bam
[2026-07-21 00:24:48 +0000] EGAF00008095095      1 616507088    47208fcc32075a348facf90d3d263f3a     IM_16.bam
[2026-07-21 00:24:48 +0000] EGAF00008095096      1 910161597    312f2583ae3576618ae6fb2b0d43a8bc     IM_165.bam
[2026-07-21 00:24:48 +0000] EGAF00008095097      1 577826060    4e74f69a48ed9605b76f2c2a13fb9e69     IM_168.bam
[2026-07-21 00:24:48 +0000] EGAF00008095090      1 808826082    003891e511ac7df270d5b54ccb5e5fc9     IM_149.bam
[2026-07-21 00:24:48 +0000] EGAF00008095091      1 392400178    b8111e884136aa9a2381037bd850459e     IM_15.bam
[2026-07-21 00:24:48 +0000] EGAF00008095092      1 1087364082   a1f76d9ced3023558a49d2beed8be042     IM_152.bam
[2026-07-21 00:24:48 +0000] EGAF00008095093      1 865011373    ac3749d51b1290def3932ba018826329     IM_153.bam
[2026-07-21 00:24:48 +0000] EGAF00008095186      1 351217151    c370bc096189e411c7ebec127dd19e34     IM_262.bam
[2026-07-21 00:24:48 +0000] EGAF00008095065      1 597476061    eabc2562af9d78b10be30e119fa0a1e4     IM_12.bam
[2026-07-21 00:24:48 +0000] EGAF00008095187      1 612455622    3292e481cf22ee0624c220733d38b67e     IM_263.bam
[2026-07-21 00:24:48 +0000] EGAF00008095066      1 687469297    7d336a69df76a1b95b3ad6ac7d6047fe     IM_120.bam
[2026-07-21 00:24:48 +0000] EGAF00008095188      1 911881770    08c0a2026f6fe63311ba7d541c2d5fbf     IM_264.bam
[2026-07-21 00:24:48 +0000] EGAF00008095067      1 513439081    f1a30989da633f83d98adf9c55b586a8     IM_121.bam
[2026-07-21 00:24:48 +0000] EGAF00008095189      1 807501963    40b800e7bfbca51ab161be0c71852c81     IM_266.bam
[2026-07-21 00:24:48 +0000] EGAF00008095068      1 965062803    78d39e7038b47e00bc10c8763f2f0ddc     IM_122.bam
[2026-07-21 00:24:48 +0000] EGAF00008095182      1 485355488    14ffcf3f6bdb4d3053b96816b267cd7a     IM_258.bam
[2026-07-21 00:24:48 +0000] EGAF00008095061      1 758242724    9dc1a637595e3e1e0367d3a013d94921     IM_116.bam
[2026-07-21 00:24:48 +0000] EGAF00008095183      1 1212045108   35fec249e78b861cccfecdb541466f39     IM_259.bam
[2026-07-21 00:24:48 +0000] EGAF00008095062      1 593567709    51007d5ac85cbcb7125fc5ccec36fdf2     IM_117.bam
[2026-07-21 00:24:48 +0000] EGAF00008095184      1 445873512    18d1bdf55fcb42ce85ac8ce3ab3d939b     IM_260.bam
[2026-07-21 00:24:48 +0000] EGAF00008095063      1 392575899    13bb69be2eb25198e68e4e11294c7ccb     IM_118.bam
[2026-07-21 00:24:48 +0000] EGAF00008095185      1 270476486    97d533bda53478132106fc4c5f0032fa     IM_261.bam
[2026-07-21 00:24:48 +0000] EGAF00008095064      1 1074775589   559b76718ec670dd153ef6f26149a7bd     IM_119.bam
[2026-07-21 00:24:48 +0000] EGAF00008095069      1 674290019    9ef11832d294e15432b2a380617607ae     IM_123.bam
[2026-07-21 00:24:48 +0000] EGAF00008095180      1 612966896    626e3627c9eda139cb57bf8254abb121     IM_256.bam
[2026-07-21 00:24:48 +0000] EGAF00008095181      1 890123584    09ba168ad0ad333e3cd2d0be318effb9     IM_257.bam
[2026-07-21 00:24:48 +0000] EGAF00008095060      1 672722497    404eaa21a104a74cadf9b6626384394e     IM_113.bam
[2026-07-21 00:24:48 +0000] EGAF00008095296      1 1394814490   e96954efd4050693085a9506ea667d00     IM_379.bam
[2026-07-21 00:24:48 +0000] EGAF00008095175      1 981693231    30059de30c71b10bd63c19ac8a389ac1     IM_250.bam
[2026-07-21 00:24:48 +0000] EGAF00008095054      1 652677721    17af6898c6704447fcc629b12e69633a     IM_107.bam
[2026-07-21 00:24:48 +0000] EGAF00008095297      1 474244270    454d172aac6e4d00a8a157554cd1ba12     IM_38.bam
[2026-07-21 00:24:48 +0000] EGAF00008095176      1 983638173    80ab8fac86497bcb6aaaaaf84ec7fd14     IM_252.bam
[2026-07-21 00:24:48 +0000] EGAF00008095055      1 830218285    27a67db08ff74d4075a268ca212d38dd     IM_108.bam
[2026-07-21 00:24:48 +0000] EGAF00008095298      1 1626437000   ec8d10f14eb62841fa0204cedf45bc5d     IM_380.bam
[2026-07-21 00:24:48 +0000] EGAF00008095177      1 862141139    b02fd0ebd54d6309b4ffde329a2ba09d     IM_253.bam
[2026-07-21 00:24:48 +0000] EGAF00008095056      1 962308115    e0fbcdb3c3c67ed9911dc8cf47fd2101     IM_11.bam
[2026-07-21 00:24:48 +0000] EGAF00008095299      1 1021056173   a238267944631c7003be51729a13d930     IM_381.bam
[2026-07-21 00:24:48 +0000] EGAF00008095178      1 335072180    41a5240dd0e5b7fa862cbd2b6b23e356     IM_254.bam
[2026-07-21 00:24:48 +0000] EGAF00008095057      1 525626963    9bd74121e5a620e4aa61965f712a0d0a     IM_110.bam
[2026-07-21 00:24:48 +0000] EGAF00008095292      1 1083587245   6f406ea3a8e486aa6269ed119c1a36c5     IM_374.bam
[2026-07-21 00:24:48 +0000] EGAF00008095171      1 337509691    e01a4e1823688a312de569f7aa944e0e     IM_247.bam
[2026-07-21 00:24:48 +0000] EGAF00008095050      1 826148821    53535e0fb3baebccf0c2fe62f71d2258     IM_102.bam
[2026-07-21 00:24:48 +0000] EGAF00008095293      1 1364903503   39f98dfa277fd874e8ff9e87ed9c10ee     IM_375.bam
[2026-07-21 00:24:48 +0000] EGAF00008095172      1 572927199    98f134a171684b3625e93c64c59eb5d6     IM_248.bam
[2026-07-21 00:24:48 +0000] EGAF00008095051      1 959835990    291664789a4a05231dfce27fff1ed410     IM_104.bam
[2026-07-21 00:24:48 +0000] EGAF00008095294      1 790061801    162ce903d0e2a367f8f1b21a10d7fc3a     IM_377.bam
[2026-07-21 00:24:48 +0000] EGAF00008095173      1 349268902    ca53f72d529664fb0b0a27b5227b2bc9     IM_249.bam
[2026-07-21 00:24:48 +0000] EGAF00008095052      1 928105122    a5ef2ea9991a72e9ebd576042d17320e     IM_105.bam
[2026-07-21 00:24:48 +0000] EGAF00008095295      1 1134974679   38a9745a505899ce615d9493fa974812     IM_378.bam
[2026-07-21 00:24:48 +0000] EGAF00008095174      1 717608530    8f5fd5b2234321da852d66982a44900e     IM_25.bam
[2026-07-21 00:24:48 +0000] EGAF00008095053      1 1202359644   0114bd35afba21852a58501587aebbad     IM_106.bam
[2026-07-21 00:24:48 +0000] EGAF00008095179      1 878730592    65a1f1364646138187422d849a008e21     IM_255.bam
[2026-07-21 00:24:48 +0000] EGAF00008095058      1 977034932    3b0378130f77662d38ff3f5bf3e77312     IM_111.bam
[2026-07-21 00:24:48 +0000] EGAF00008095059      1 395191714    c94959a4ee255966d7ce6b368b21f98d     IM_112.bam
[2026-07-21 00:24:48 +0000] EGAF00008095290      1 806683208    20e7655f134d27937baa66d2af21945e     IM_372.bam
[2026-07-21 00:24:48 +0000] EGAF00008095291      1 273959939    3112ed3b883af2fa7335927a19c08da3     IM_373.bam
[2026-07-21 00:24:48 +0000] EGAF00008095170      1 152313345    6901de1aa47084a4acf3a064077cc7a0     IM_246.bam
[2026-07-21 00:24:48 +0000] EGAF00008095087      1 742052813    f6a3a1d6e01995a77208f0a69c386d02     IM_145.bam
